"TSN"	"Common Name"	"LeafType"	"LeafArrangement"	"LeafAttachment"	"LeafEdge"	"LeafVeins"	"FlowerType"	"FlowerArrangement"	"FlowerAttachment"	"FlowerSymmetry"	"FlowerPetalNumber"	"FlowerPetalColor"	"FruitType"	"FruitArrangement"	"FruitAttachment"	"FruitColor"	"BarkAttachment"	"BarkTexture"	"BarkColor"	"ThornType"	"ThornArrangement"	"ThornStiffness"	"TendrilType"	"TendrilArrangement"	"TendrilAttach"	"PlantDetails"
"019523"	"pokeweed"	"simple"	"alternate"	"stemmed"	"smooth"	"feather-like"	"regular"	"multiple clusters"	"stemmed"	"radial"	"variable"	"white to green"	"berry-like"	"multiple clusters"	"stemmed"	"black"	"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"stems reddish; fruit stems reddish;"
"019954"	"chickweed, common mouse-ear"	"simple"	"opposite"	"stemless"	"smooth"	"feather-like"	"regular"	"multiple clusters"	"stemmed"	"radial"		"white"	"seed-like"	"multiple clusters"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"leaves and stem hairy"
"019955"	"chickweed, clammy"	"simple"	"opposite"	"stemless"	"smooth"	"feather-like"	"regular"	"multiple clusters"	"stemmed"	"radial"		"yellow"	"seed-like"	"multiple clusters"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"leaves and stem hairy"
"020169"	"chickweed, common"	"simple"	"opposite"	"multiple"	"smooth"	"feather-like"	"regular"	"multiple clusters"	"stemmed"	"radial"	"5"	"white"	"seed-like"	"multiple clusters"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"2 partial petals; stem has single line of fine hairs; upper leaves without stems; leaves without stipules;"
"020181"	"stitchwort, common"	"simple"	"opposite"	"stemless"	"smooth"		"regular"	"variable - solitary or multiple clusters"	"stemmed"	"radial"	"5"	"white or green"	"seed-like"	"variable - single & multiple"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"stem usually smooth but sometimes hairy; leaves at least 5 times longer than wide;"
"020276"	"pink, deptford"	"simple"	"opposite"	"stemless"	"smooth"	"feather-like"	"regular"	"multiple clusters"	"stemmed"	"radial"	"5"	"deep pink"	"seed-like"	"multiple clusters"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"pink petals with white dots; petal tips toothed; sepals joined forming a tube"
"020382"	"spring-beauty"	"simple"	"opposite"	"stemmed"	"smooth"	"parallel"	"regular"	"single cluster"	"stemmed"	"radial"	"5"	"white to pink"	"seed-like"	"single cluster"	"stemmed"	"`"	"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"020422"	"purslane, common"	"simple"	"alternate & opposite"	"stemmed"	"smooth"	"feather-like"	"regular"	"variable"	"stemmed"	"radial"	"5"	"yellow"	"seed-like"	"solitary"	"stemmed"	"yellow"	"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"creeping grown habit; stems reddish; leaves fleshy and succulent;"
"020592"	"lamb's-quarters"	"simple"	"alternate"	"stemmed"	"toothed"	"feather-like"		"multiple clusters"	"stemless"		"0"	"green"	"seed-like"	"multiple clusters"	"stemless"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"020863"	"tear-thumb, arrow-leaved"	"simple"	"alternate"	"multiple"	"lobed"	"feather-like"	"regular"	"multiple clusters"	"stemmed"	"radial"	"5"	"pink to ?"	"seed-like"	"multiple clusters"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"leaves arrow-shaped; prickles on midrib vein beneath; stem 4-sided with backward pointing prickles;"
"020876"	"knotweed, common"	"simple"	"alternate"	"multiple"	"smooth"	"feather-like"	"regular"		"stemmed"	"radial"		"green"	"seed-like"		"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"thorn silvery sheaths at joints; plant reclining or prostrate;"
"020889"	"knotweed, Japanese"	"simple"	"alternate"	"stemmed"	"smooth"	"feather-like"	"regular"	"multiple clusters"	"stemmed"	"radial"	"variable"		"seed-like"	"multiple clusters"	"stemmed"	"black"	"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"flowers on large, hollow, jointed and mottled stems;"
"020934"	"sorrel, Eurasian green"	"simple"	"alternate"	"stemmed"	"lobed"		"ball-like"	"multiple clusters"	"stemmed"		"0"	"green to brown-red)"	"seed-like"	"multiple clusters"	"stemmed"	"shiny golden brown"	"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"stems jointed; fruit and flowers wingless; stems grooved;"
"020937"	"dock, curly"	"simple"	"alternate"	"stemmed"	"smooth"	"feather-like"		"multiple clusters"	"stemmed"		"0"	"green or red"	"seed-like"	"multiple clusters"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"seed wings heart-shaped; leaf edge wavy; tubercule ellipisoid to subglobose & 3 in number; valves of fruiting calyx entire or nearly so;"
"020939"	"dock, bitter"	"simple"	"alternate"	"stemmed"	"smooth"	"feather-like"		"multiple clusters"	"stemmed"				"seed-like"	"multiple clusters"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"leaf with heart-shaped base; seed wings with prominent teeth; lower leaves egg-shaped; leaves usually red-veined; stems jointed; usually only one tubercle; basal blades ovate to broadly oblong;"
"021420"	"pineweed"	"scale"	"opposite"	"stemless"	"smooth"	"not visible"	"regular"	"solitary"	"stemmed"	"radial"	"5"	"yellow"	"seed-like"	"solitary"	"stemmed"	"red"	"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no thendrils"	"no tendrils"	"bracts wiry and ascending;"
"021421"	"St. John's-wort, dwarf"	"simple"	"opposite"	"stemless"	"smooth"	"feather-like"	"regular"	"multiple clusters"	"stemmed"	"radial"	"5"	"yellow"	"seed-like"	"multiple clusters"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"021422"	"St. John's wort, spotted"	"simple"	"opposite"	"stemless"	"smooth"	"feather-like"	"regular"	"multiple clusters"	"stemmed"	"radial"	"5"	"yellow"	"seed-like"	"multiple clusters"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"sepals heavily dotted;"
"021454"	"St. John's-wort, common"	"simple"	"opposite"	"stemless"	"smooth"	"feather-like"	"regular"	"multiple clusters"	"stemmed"	"radial"	"5"	"yellow"	"seed-like"	"multiple clusters"	"stemmed"	"brown"	"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"petals with black dots on margins; leave with translucent dots;"
"021536"	"basswood"	"simple"	"alternate"	"stemmed"	"toothed"	"feather-like"	"regular"	"multiple clusters"	"stemmed"	"radial"	"5"	"yellowish white"	"nut-like"	"multiple clusters"	"stemmed"	"gray brown"	"firm"	"furrows & ridges"	"gray"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"seeds have wing at base;"
"021674"	"velvet-leaf"	"simple"	"alternate"	"stemmed"	"toothed"	"palm-like"	"regular"	"solitary"	"stemmed"	"radial"	"5"	"yellow"	"seed-like"	"solitary"	"stemmed"	"yellow"	"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"021833"	"mallow, vervain"	"simple"	"opposite"	"stemmed"	"lobed & toothed"	"palm-like"	"regular"	"multiple clusters"	"stemmed"	"radial"	"5"	"pink to white"	"seed-like"	"multiple clusters"	"stemmed"	"pink to white"	"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"minute star-shaped hairs on stems; flowers musk scented; petal wedge-shaped and notched; fruit circular, hairy, donut-like cluster of segments;"
"022050"	"violet, sweet white"	"simple"	"basal"	"stemmed"	"toothed"	"feather-like"	"regular"	"solitary"	"stemmed"	"bilateral"	"5"	"white to yellow"	"seed-like"	"solitary"	"stemmed"	"purplish"	"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"bottom leaf lobes deep and almost touching, leaf heart-shaped with pointed tip; stalks reddish; fragrant; top 2 petals bent backward and twisted; petals beardless; leaf stalk not winged;"
"022053"	"violet, Canada"	"simple"	"alternate"	"stemmed"	"toothed"	"feather-like"	"regular"	"solitary"	"stemmed"	"bilateral"	"5"	"white to yellow"	"seed-like"	"solitary"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"leaves and flowers on same stalk; petal base yellow; petals with purplish tinge on back; stems purplish with scattered hairs; stipules small and untoothed; flowers fragrant; side petals bearded;"
"022086"	"violet, halberd-leaved"	"simple"	"alternate"	"stemmed"	"toothed"	"palm-like"	"regular"	"solitary"	"stemmed"	"bilateral"	"5"	"yellow (brown & purple lines at base)"	"seed-like"	"solitary"	"stemmed"	"pale brown"	"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"leaf surface with irregular silvery blotches; sepals with ciliate margins; back of petals tinged purple; leaf base cordate or hastate"
"022144"	"violet, common yellow"	"simple"	"alternate"	"stemmed"	"toothed"	"palm-like"	"regular"	"solitary"	"stemmed"	"bilateral"	"5"	"yellow"	"seed-like"	"solitary"	"stemmed"	"tan (pod)"	"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"022158"	"violet, long-spurred"	"simple"	"alternate"	"stemmed"	"toothed"	"feather-like"	"regular"	"solitary"	"stemmed"	"bilateral"	"5"	"pale lavender (darker veins)"	"seed-like"	"solitary"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"stipules toothed and conspicuous; petals beardless; flower darker color;"
"022162"	"violet, arrow-leaved"	"simple"	"basal"	"stemmed"	"toothed"	"feather-like"	"regular"	"solitary"	"stemmed"	"bilateral"	"5"	"blue violet"	"seed-like"	"solitary"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"leaf arrowhead-shaped with deeply lobed base; leaves often purplish beneath; early leaves often heart-shaped; side and bottom petals bearded;"
"022169"	"violet, common"	"simple"	"basal"	"stemmed"	"toothed"	"palm-like"	"regular"	"solitary"	"stemmed"	"bilateral"	"5"	"violet, blue"	"seed-like"	"solitary"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"lateral petals bearded; plant downy or woolly throughout; lower petals smooth on inside; leaves heart-shaped; leaves hairy on both sides;"
"022359"	"muskmelon"	"simple"	"alternate"	"stemmed"			"regular"	"solitary"	"stemmed"	"radial"		"white"	"seed-like"	"solitary"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"spiral"	"opposite leaf"		
"022378"	"cucumber, wild"	"simple"	"alternate"	"stemmed"	"lobed"	"palm-like"	"regular"	"variable"	"stemmed"	"radial"	"6 or more"	"white"	"berry-like"	"solitary"	"stemmed"	"green"	"no bark"	"no bark"	"no bark"		"other"		"forked (3)"	"opposite 1 or 2 leaves"	"leaf axil"	
"022445"	"cottonwood"	"simple"	"alternate"	"stemmed"	"toothed"	"feather-like"	"catkin-like"	"multiple clusters"	"stemmed"	"radial"	"indistinguishable"	"reddish brown"	"seed-like"	"multiple clusters"	"stemmed"	"green turning brown"	"firm"	"furrows & ridges"	"gray"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"pair of glands at the junction of leaf blade and petiole:"
"022463"	"aspen, bigtooth"	"simple"	"alternate"	"stemmed"	"toothed"	"feather-like"	"catkin-like"	"multiple clusters"	"stemmed"	"radial"	"indistinguishable"	"brownish"	"seed-like"	"multiple clusters"	"stemmed"	"light green"	"firm"	"smooth or paper-like"	"gray"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"bud scales hairy; glands on leaves at junction of blade and petiole;"
"022484"	"willow, black"	"simple"	"alternate"	"stemmed"	"toothed"	"feather-like"	"catkin-like"	"multiple clusters"	"stemmed"			"yellow-green"	"seed-like"	"multiple clusters"	"stemmed"		"firm"	"furrows & ridges"	"gray"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"4-7 stamen on male flowers; leaf with two glands at base; leaf with green stipules; blades green beneath and smooth on both sides; vein islet very small; petioles without glands;"
"022524"	"willow, pussy"	"simple"	"alternate"	"stemmed"	"toothed"	"feather-like"	"catkin-like"	"multiple clusters"	"stemmed"	"radial"		"silvery to gold"	"seed-like"	"multiple clusters"	"stemmed"		"firm"	"smooth or paper-like"	"brown"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"leaf stalk lacks paired glands; blade glaucous beneath and smooth on top; ament bracts entire or nearly so; buds with one scale; flower with one or two small glands at base;"
"022528"	"willow, heart-leaved"	"simple"	"alternate"	"stemmed"	"toothed"	"feather-like"	"catkin-like"	"multiple clusters"	"stemmed"	"radial"	"indistinguishable"		"cone-like"	"multiple clusters"	"stemmed"					"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"022529"	"willow, sandbar"	"simple"	"alternate"	"stemless"	"toothed"	"feather-like"	"catkin-like"	"multiple clusters"	"stemmed"	"radial"		"yellowish"	"seed-like"	"multiple clusters"	"stemmed"	"brown with white pappus"		"rough"	"brown"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"022579"	"willow, Schrank's"	"simple"	"alternate"	"stemmed"	"toothed"	"feather-like"	"catkin-like"	"multiple clusters"	"stemmed"	"radial"	"indistinguishable"	"greenish ?"	"seed-like"	"multiple clusters"	"stemmed"					"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"022741"	"water-cress, common"	"multiple types"	"alternate"	"multiple"	"toothed"	"feather-like"	"regular"	"multiple clusters"	"stemmed"	"radial"	"4"	"yellow"	"seed-like"	"multiple clusters"	"stemmed"	"green to brown"	"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"022766"	"shepherd's-purse"	"multiple types"	"alternate"	"clasping"	"lobed & toothed"	"feather-like"	"regular"	"multiple clusters"	"stemmed"	"radial"	"4"	"white"	"seed-like"	"multiple clusters"	"stemmed"	"green"	"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"022772"	"bittercress, Pennsylvania"	"compound"	"alternate"	"stemmed"	"lobed"	"feather-like"	"regular"	"multiple clusters"	"stemmed"	"radial"	"4"	"white"	"seed-like"	"multiple clusters"	"stemmed"	"yellow"	"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"022787"	"toothwort, cut-leaved"	"compound"	"whorled"	"stemmed"	"lobed & toothed"	"palm-like"	"regular"		"stemmed"	"radial"	"4"	"white to pink"			"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"stem leaves in three; leaflets lance-shaped"
"022792"	"toothwort, two-leaved"	"compound"	"alternate"	"stemmed"	"toothed"	"feather-like"	"regular"	"single cluster"	"stemmed"	"radial"	"4"	"white"	"seed-like"	"single cluster"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"022793"	"bittercress, purple"	"simple"	"alternate"	"multiple"	"toothed"	"feather-like"	"regular"	"single cluster"	"stemmed"	"radial"	"4"	"pink to purple"	"seed-like"	"single cluster"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"022797"	"bittercress, hoary"	"multiple types"	"alternate"	"stemmed"	"lobed"	"feather-like"	"regular"	"multiple clusters"	"stemmed"	"radial"	"4"	"white"	"seed-like"	"multiple clusters"	"stemmed"	"green"	"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"022954"	"pepper-grass, field"	"simple"	"alternate"	"multiple"	"toothed"	"feather-like"	"regular"	"multiple clusters"	"stemmed"	"radial"	"4"	"white"	"seed-like"	"multiple clusters"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"stem with fine hairs; basal leaves mostly smooth or slightly toothed"
"023059"	"mustard, Indian"	"simple"	"alternate"	"stemmed"	"lobed & toothed"	"feather-like"	"regular"	"multiple clusters"	"stemmed"	"radial"	"4"	"yellow"	"seed-like"	"multiple clusters"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"023105"	"cress, swine"	"simple"	"alternate"	"stemless"	"lobed"	"feather-like"		"multiple clusters"	"stemmed"				"seed-ike"	"multiple clusters"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"023138"	"rocket, dame's"	"simple"	"alternate"	"stemmed"	"toothed"	"feather-like"	"regular"	"multiple clusters"	"stemmed"	"radial"	"4"	"pink to purple to white"	"seed-like"	"multiple clusters"	"stemmed"	"tan"	"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"023236"	"alyssum, sweet"	"simple"	"alternate"	"stemless"	"smooth"	"feather-like"	"regular"	"multiple clusters"	"stemmed"	"radial"	"4"	"white"		"multiple clusters"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"023238"	"honesty"	"simple"	"opposite"	"stemless"	"toothed"	"palm-like"	"regular"	"single cluster"	"stemmed"	"bilateral ?"	"4"	"pink to white to purple"	"seed-like"	"single cluster"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"seeds in silver-white membrane;"
"023312"	"mustard, tumble"	"compound"	"alternate"	"stemmed"	"lobed"	"feather-like"	"regular"	"multiple clusters"	"stemmed"	"radial"	"4"	"yellow to white"	"seed-like"	"solitary"	"stemmed"	"yellowish to orange"	"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"023422"	"penny-cress, field"	"simple"	"alternate"	"clasping"	"toothed"	"feather-like"	"regular"	"multiple clusters"	"stemmed"	"radial"	"4"	"white"	"seed-like"	"multiple clusters"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"no basal leaves; pod nearly round, broadly winged and deeply notched;"
"023573"	"blueberry, highbush"	"simple"	"alternate"	"stemmed"	"smooth"	"feather-like"	"regular"	"multiple clusters"	"stemmed"	"radial"	"5"	"white or pinkish"	"berry-like"	"multiple clusters"	"stemmed"	"blue"	"firm"	"smooth or paper-like"	"brown"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"flowers longer than wide and constricted at tip; flowers urn-shaped;"
"023700"	"rhododendron"	"simple"	"alternate"	"stemmed"	"smooth"	"feather-like"	"regular"	"multiple clusters"		"bilateral"	"variable"		"seed-like"	"multiple clusters"	"stemmed"		"firm"	"smooth or paper-like"	"brown"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"anthers opening by terminal pore; petals united more or less;"
"023778"	"pipe, Indian"	"simple"	"alternate"	"stemless"	"smooth"	"not visible"	"regular"	"solitary"	"stemmed"	"radial"	"variable"	"waxy-white, rarely pink"	"seed-like"	"multiple clusters"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"filaments hairy;"
"023984"	"loosestrife, fringed"	"simple"	"opposite & whorled"	"stemmed"	"smooth"	"feather-like"	"regular"	"solitary"	"stemmed"	"radial"	"5"	"yellow"	"seed-like"	"solitary"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"flowers nodding; leaf stalks fringed; petals slightly toothed;"
"023985"	"swamp-candles"	"simple"	"opposite"	"stemless"	"smooth"	"feather-like"	"regular"	"single cluster"	"stemmed"	"radial"	"5"	"yellow"	"seed-like"	"single cluster"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"2 red spots at the base of petals; small, reddish bulblets in leaf axils after flowering:"
"023993"	"moneywort"	"simple"	"opposite"	"stemless"	"smooth"	"feather-like"	"regular"	"multiple clusters"	"stemmed"	"radial"	"5"	"yellow"		"multiple clusters"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"024043"	"pimpernel, scarlet"	"simple"	"opposite"	"stemless"	"smooth"	"feather-like"	"regular"	"solitary"	"stemmed"	"radial"	"5"	"pink to red +"	"seed-like"	"solitary"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"024407"	"bishop's-cap"	"simple"	"opposite"	"multiple"	"lobed & toothed"	"feather-like"	"regular"	"single cluster"	"stemmed"	"radial"	"5"	"white"	"seed-like"	"single cluster"	"stemmed"	"black"	"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"flower petals fringed;"
"024421"	"mock-orange, European"	"simple"	"opposite"	"stemmed"	"toothed"	"parallel"	"regular"	"multiple clusters"	"stemmed"	"radial"	"4"	"white"	"seed-like"	"multiple clusters"	"stemmed"		"firm"	"smooth or paper-like"	"brown"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"bark of young twigs exfoliating;"
"024462"	"gooseberry, prickly"	"simple"	"alternate or clustered"	"stemmed"	"lobed & toothed"	"palm-like"	"regular"	"multiple clusters"	"stemmed"	"radial"	"5"	"green"	"berry-like"	"multiple clusters"	"stemmed"	"red-purple"	"no bark"	"no bark"	"no bark"	"short"		"prickles"	"no tendrils"	"no tendrils"	"no tendrils"	"prickles sometimes but not always on branches; pedicels not jointed; stamens about equaling petals;"
"024530"	"foamflower"	"simple"	"basal"	"stemmed"	"lobed & toothed"	"palm-like"	"regular"	"single cluster"	"stemmed"	"radial"	"6 or more"	"white to pink"	"seed-like"	"single cluster"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"no stem leaves; leaves hairy;"
"024539"	"hawthorn, Kansas"	"simple"	"alternate"	"stemmed"	"lobed & toothed"	"feather-like"	"regular"	"multiple clusters"	"stemmed"	"radial"	"5"	"white to red"	"berry-like"	"multiple clusters"	"stemmed"	"red"	"flaking or scaling"	"smooth or paper-like"	"gray"	"long"	"stem only"	"very stiff"	"no tendrils"	"no tendrils"	"no tendrils"	
"024634"	"strawberry, wood"	"compound"	"basal"	"stemmed"	"toothed"	"feather-like"	"regular"	"solitary"	"stemmed"	"radial"	"5"	"white"	"seed-like"	"single cluster"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"flower cluster & fruit overtop leaves; flower stalks of unequal length; fruit cone-shaped; seeds on surface; terminal tooth of leaves surpassing lateral teeth"
"024639"	"strawberry, wild"	"compound"	"basal"	"stemmed"	"toothed"	"feather-like"	"regular"	"single cluster"	"stemmed"	"radial"	"5"	"white"	"berry-like"	"single cluster"	"stemmed"	"red"	"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"024645"	"avens, white"	"compound"	"alternate"	"stemmed"	"lobed & toothed"	"palm-like"	"regular"	"multiple clusters"	"stemmed"	"radial"	"5"	"white"	"seed-like"	"multiple clusters"	"stemmed"		"no bark"	"no bark"	"no bark"	"short"			"no tendrils"	"no tendrils"	"no tendrils"	
"024652"	"avens, rough"	"compound"	"opposite"	"stemmed"	"lobed & toothed"		"ball-like"	"multiple clusters"	"stemmed"	"radial"	"variable"	"white"	"seed-like"	"multiple clusters"	"stemmed"	"brown"	"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"024730"	"cinquefoil, rough"	"compound"	"alternate"	"stemmed"	"toothed"	"feather-like"	"regular"	"multiple clusters"	"stemmed"	"radial"	"5"	"yellow"	"seed-like"	"multiple clusters"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"stem with hairs; mature flower cluster's leaf bracted;"
"024742"	"cinquefoil, rough-fruited"	"compound"	"alternate"	"stemmed"	"toothed"	"feather-like"	"regular"	"multiple clusters"	"stemmed"	"radial"	"5"	"yellow"	"seed-like"	"multiple clusters"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"plant with hairs; petals notched at tip;"
"024751"	"cinquefoil, common"	"compound"	"alternate"	"stemmed"	"toothed"	"feather-like"	"regular"	"solitary"	"stemmed"	"radial"	"5"	"yellow"	"berry-like"	"solitary"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"stems prostrate; rooting at nodes;"
"024764"	"cherry, black wild"	"simple"	"alternate"	"stemmed"	"toothed"	"feather-like"	"regular"	"multiple clusters"	"stemmed"	"radial"	"5"	"white"	"berry-like"	"multiple clusters"	"stemmed"	"red to purple to black"	"firm"	"smooth or paper-like"	"gray"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"bark aromatic;"
