"TSN"	"Common Name"	"Native?"	"Invasive?"	"Typical Habitat"	"Typical flowering time"	"Typical fruiting time"	"Growth habit"	"Annual, Biennial, Perennial"	"Toxicity"	"Medical Uses"	"Culinary Uses"	"Ornamental Uses"	"Other Uses"	"Status-Local"	"Status-State"	"Status-US"	"Status-Global"	"ECR"	"HHCP"	"LEB"	"UWB"	"WSP"	"AR"
"024530"	"foamflower"	"yes"		"rich woods"	"Apr-May"		"herb"	"perennial"	"no data"	"leaf tea for white-coated tongue, mouth sores, eye ailments; root tea for diuretic, diarrhea; root poultice for wounds"	"no data"	"no data"	"no data"					"M"	"yes"				
"024539"	"hawthorn, Kansas"	"yes"		"open woodland, river bottom, moist meadows"	"spring"	"autumn"	"tree"	"perennial"	"contain compounds that may affect heart rate and blood pressure"	"fruit and flower tea used as a heart tonic, treat hypertension, angina pectoris, atherosclerosis"	"no data"	"no data"	"no data"					"yes"	"no"				
"024634"	"strawberry, wood"	"yes"	"no"	"open woods, rocky pastures"	"Apr-Jun"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"					
"024639"	"strawberry, wild"	"yes"		"open places, fields"	"Apr-Jun"		"herb"	"perennial"	"no data"	"leaf tea used for nerves, bladder & kidney ailments, jaundice, scurvy, diarrhea, stomach ache, gout"	"fruit edible"	"no data"	"no data"						"yes"				
"024645"	"avens, white"	"yes"	"no"	"dry or moist woods, thickets"	"May-Jun"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"					"yes"
"024652"	"avens, rough"	"yes"	"no"	"open woods, thickets"	"late spring - summer"	"Jul"	"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"						"yes"				
"024730"	"cinquefoil, rough"	"yes"		"clearings, thickets, roadsides"	"Jun-Oct"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"						"yes"				
"024742"	"cinquefoil, rough-fruited"	"no"		"roadsides, fields"	"May-Aug"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"	"yes"				
"024751"	"cinquefoil, common"	"yes"		"roadside, fields, dry woods"	"Apr-Jun"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"	"yes"				"yes"
"024764"	"cherry, black wild"	"yes"		"forests, fence rows"	"May-Jun"		"tree"	"perennial"	"bark, seeds and leaves contain highly toxic hydrocyanic acid"	"inner bark tea for coughs, fevers, colds, sore throat, lung ailments, inflammation;"	"poor man's cherry substitute"	"no data"	"no data"					"yes"	"yes"				"yes"
"024770"	"cherry, sweet"	"no"		"dry to moist woods"			"tree"	"perennial"	"no data"	"no data"	"edible"	"no data"	"no data"					"yes"	"yes"				
"024773"	"cherry, sour"	"no"					"tree"	"perennial"	"no data"	"no data"	"use to make pies"	"no data"	"no data"					"yes"					
"024799"	"cherry, pin"	"yes"		"moist woodland, clearings, roadsides"	"Apr-May"		"tree"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"					
"024806"	"cherry, choke"	"yes"		"forest borders, thickets, clearings"	"May-Jun"		"tree"	"perennial"	"may cause cyanide poisoning"	"bark tea for coughs, fevers, colds, sore throats, diarrhea, lung ailments"	"no data"	"no data"	"no data"					"yes"	"yes"				"yes"
"024809"	"rose, swamp"	"yes"		"swamps, wet ground"	"Jun-Aug"		"shrub"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"M G"					
"024819"	"rose, dog"	"no"		"escape from cultivation"			"shrub"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"	"yes"				
"024833"	"rose, multiflora"	"no"	"YES"	"roadsides"	"May-Jun"		"shrub"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"	"yes"				"yes"
"024854"	"raspberry, black"	"yes"		"dry or moist woods, fields, thickets"	"May-Jul"		"shrub"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"	"yes"				"yes"
"024866"	"blackberry, common"	"yes"		"dry fields, clearings"	"May-Jun"		"shrub"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"						"yes"				"yes"
"024921"	"dewberry, northern"	"yes"		"disturbed areas, ledges, cliffs"	"May-Jun"		"shrub"	"perennail"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"					
"024943"	"dewberry, swamp"	"yes"		"moist thickets, open woods, clearings"	"Jun-Sep"		"shrub"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"						"yes"				
"024997"	"rasberry, flowering"	"yes"		"rocky woods, ravines, thickets"	"Jun-Sep"		"shrub"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"	"yes"				"yes"
"025095"	"agrimony, hairy"	"yes"		"marsh, open woods, thickets, roadsides"	"Jul-Aug"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"						"yes"				
"025098"	"agrimony, southern"	"yes"		"woods, thickets"	"Jul-Sep"		"herb"	"perennial"	"no data"	"tea from whole plant stops bleeding, diarrhea, inf"	"no data"	"no data"	"no data"						"yes"				
"025110"	"serviceberry, downy"	"yes"		"mesic woods"	"Apr-May"	"May"	"shrub"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"						"yes"				
"025163"	"Indian-strawberry"	"no"	"no"	"moist waste ground"	"Apr-Jun"		"herb"	"perennial"	"no data"	"poultice treats boils, burns, stings, coughs, eczema, ringworm"	"edible but tastless"	"no data"	"no data"					"yes"	"no"	"yes"	"8ju"	"yes"	
"025257"	"crabapple, wild"	"yes"					"shrub to tree"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"					"yes"
"025264"	"crabapple, European"	"no"		"woods, woods edge"	"spring"		"tree"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"						"yes"				
"025295"	"pear"	"no"			"spring"		"tree"	"perennial"	"no data"	"no data"	"fruit edible"	"used in street plantings"	"no data"					"yes"	"yes"				
"025320"	"mountain-ash, European"	"no"		"roadsides"	"spring"	"Aug-Oct"	"tree"	"perennial"	"no data"	"fruit for piles, urinary difficulties, indigestion, gall bladder problems, angina, other coronary problems"	"no data"	"no data"	"no data"						"yes"				
"025329"	"meadow-sweet"	"yes"		"damp meadows, woodland borders, swampy places"	"Jun-Sep"		"shrub"	"perennial"	"no data"	"leaf tea for diarrhea, dysentry; leaf & flower tea for morning sickness, stop bleeding, leukorrhea"	"no data"	"no data"	"no data"						"yes"				
"025338"	"hog-peanut"	"yes"		"woods edge, moist woods, thickets"	"Aug-Sep"	"Aug-Sep"	"herb"	"annual"	"no data"	"none known"	"no data"	"no data"	"no data"						"yes"				
"025342"	"steeplebush"	"yes"		"thickets, wetlands"	"Jul-Aug"		"shrub"	"perennial"	"no data"	"leaf tea for diarrhea, dysentry; leaf & flower tea for morning sickness, stop bleeding, leukorrhea"	"no data"	"no data"	"no data"						"yes"				
"025368"	"indigo, false"	"yes"		"riverbanks, rich woods, marsh edge, alluvial soils"	"Jun-Jul"		"shrub"	"perennial"	"no data"	"none known"	"leaves can be used to make tea"	"no data"	"Indians used leaves for tobacco"	"uncommon"				"yes"	"no"			"yes"	
"025782"	"redbud"	"yes"	"no"	"moist soils of valleys and slopes"	"Mar-May"	"Jul-Aug"	"tree"	"perennial"	"no data"	"no data"	"flower edible in salads and fried"	"planted for spring color"	"roots used to make dye"					"yes"	"no"				
"025856"	"pea, everlasting"	"no"		"roadsides, waste places"	"Jun-Aug"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"					
"025866"	"pea, marsh"	"yes"		"meadows, marshes, shores"	"Jun-Sep"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"M"					
"026150"	"sweet-clover, yellow"	"no"		"roadsides, waste ground"	"Jun-Aug"		"herb"	"biennial"	"may cause uncontrolable bleeding due to coumarin"	"flower tea for neuralgia, headaches, painful urination, nervous stomach, colic, diarrhea, lameness; flower poultice for ulcer"	"no data"	"no data"	"no data"					"yes"	"yes"				
"026206"	"clover, white"	"no"		"roadsides, fields, lawns"	"May-Oct"		"herb"	"perennial"	"no data"	"leaf tea for colds, coughs, fevers, leukorrhea; flower tea for rheumatism, gout"	"no data"	"no data"	"no data"					"yes"	"yes"				"yes"
"026231"	"clover, low hop"	"no"		"fields, roadsides"	"May-Sep"		"herb"	"annual"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"					
"026261"	"clover, alsike"	"no"		"fields, roadsides"	"May-Oct"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"						"yes"				"yes"
"026313"	"clover, red"	"no"		"fields, roadsides"	"May-Sep"		"herb"	"biennial or short-lived perennial"	"potentially poisonous"	"flower tea for expectorant; anti-spasmodic; asthma; bronchitis, coughs; flower wash for cancer, athlete's foot, sores, burns,"	"no data"	"no data"	"no data"					"yes"	"yes"				"yes"
"026360"	"vetch, hairy"	"no"		"fields, roadsides, waste places"	"May-Oct"		"herb"	"annual or biennial"	"no data"	"no data"	"no data"	"no data"	"no data"						"yes"				
"026362"	"birdfoot-trefoil"	"no"		"roadsides, waste places"	"Jun-Sep"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"	"yes"				"yes"
"026407"	"bird's-foot-trefoil, narrowleaf"	"no"		"forest edge"	"Jun-Aug"		"herb"		"no data"	"no data"	"no data"	"no data"	"no data"						"yes"				
"026553"	"crown-vetch"	"no"	"yes"	"roadsides"	"Jun-Aug"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"erosion control beside freeways"					"yes"	"yes"				"yes"
"026714"	"locust, honey"	"yes"	"no"	"rich moist woods"			"tree"	"perennial"	"no data"	"no data"	"no data"	" no data"	"no data"	"common"	"common"	"common"	"common"	"yes"					"yes"
"027049"	"mermaid-weed"	"yes"		"swamps, bogs, marshes, muddy places"	"Jul-Aug"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"M"					
"027079"	"loosestrife, purple"	"no"	"YES"	"swamps, wet meadows"	"Jun-Sep"		"herb"	"perennial"	"no data"	"flower tea for diarrhea, dysentry, sore throat, leukorrhea, wound cleaning; stops bleeding, ant-bacterial"	"no data"	"no data"	"no data"		"common"	"common"	"common"	"yes"	"yes"				
"027081"	"loosestrife, wing-angled"	"yes"		"swamps, wet prairies"	"Jun-Sep"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"					
"027295"	"willow-herb, northern"	"yes"		"wet places"	"Jun-Aug"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"	"no"				
"027298"	"willow-herb, purple-leaved"	"yes"		"wet ground"	"Jul-Aug"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"	"yes"				
"027321"	"willow-herb, small-flowered hairy"	"no"	"no"	"stream side"	"Jul"	"Aug"	"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"						"yes"			"yes"	
"027326"	"willow-herb, downy"	"yes"		"bogs and swamps"			"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"					
"027336"	"water-purslane"	"yes"		"on mud or floating in shallow waters"	"Jun-Sep"		"herb"		"no data"	"no data"	"no data"	"no data"	"no data"						"yes"			"yes"	"yes"
"027368"	"evening-primrose, common"	"yes"		"roadsides, waste places"	"Jun-Sep"	"Aug-Nov"	"herb"	"biennial"	"no data"	"root tea for obesity; bowel pains; root poultice for piles, bruises; seed oil for atopic eczema, allergies; inflammation,"	"no data"	"no data"	"no data"	"common"	"common"	"common"	"common"	"yes"	"yes"				"yes"
"027369"	"sundrops, common"	"yes"		"open woods, meadows, fields"	"Jun-Aug"		"herb"	"biennial"	"no data"	"no data"	"no data"	"no data"	"no data"						"yes"				
"027372"	"sundrops, small"	"yes"		"open woods, fields"	"Jun-Jul"		"herb"	"biennial"	"no data"	"no data"	"no data"	"no data"	"no data"						"yes"				
"027567"	"nightshade, common enchanter's"	"yes"	"no"	"moist woods"	"Jun-Aug"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"	"yes"				
"027776"	"olive, autumn"	"no"		"escape from cutivation"	"May-Jun"		"tree"	"perennial"	"no data"	"no data"	"no data"	"no data"	"used as highway departments for erosion control"										"yes"
"027799"	"dogwood, silky"	"yes"	"no"	"moist woods, stream banks"	"Jun-Jul"	"Jun-Jul"	"shrub"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"						"yes"				"yes"
"027806"	"dogwood, flowering"	"yes"	"no"	"hardwood forests"	"Jun"	"autumn"	"tree"	"perennial"	"chewing twigs can cause receding gums"	"root and bark tea used for fever, diarrhea; berries used to treat acid stomach"	"no data"	"common garden plant"	"no data"					"yes"	"yes"				"yes"
"027813"	"dogwood, alternate-leaved"	"yes"	"no"	"moist forests, stream banks, old fields, forest edges, dry rocky forests"	"late spring"	"early autumn"	"shrub"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"	"no"	"yes"			
"027821"	"sour-gum"	"yes"		"moist forests, swamp margins"	"Jun"	"late autumn"	"tree"	"perennial"	"no data"	"no data"	"no data"	"cultivated for brilliant fall foliage color"	"no data"						"yes"				
"027946"	"wahoo, winged"	"no"					"shrub"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"										"yes"
"027950"	"wintercreeper"	"no"		"stream bank"			"shrub ? vine ?"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"										"yes"
"027951"	"strawberry-bush, running"	"yes"		"woods, woods edge"	"May"	"Aug-Sep"	"shrub"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"						"yes"				"yes"
"027982"	"holly, American"	"no"		"rich soils, mixed forests, swamps, borders"	"May-Jun"		"shrub"	"perennial"	"fruits considered poisonness causing violent vomiting"	"berries used to treat colic, indigestion,laxative; leaf tea for measles, colds, flu, pneumonia, sore eyes; bark tea malaria"	"no data"	"no data"	"there are more than 1,000 cultivars"						"yes"				
"028193"	"mercury, Virginia threeseed"	"yes"					"herb"			"none known"									"yes"				
"028573"	"buckthorn, European"	"no"					"shrub"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"										"yes"
"028579"	"buckthorn, glossy"	"no"	"YES"	"swamps, old fields, damp open woods, fencerows"	"May-Jun"		"shrub"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"	"yes"				"yes"
"028602"	"creeper, Virginia"	"yes"		"forest edges"	"Jun-Jul"		"vine"	"perennial"	"berries reportedly toxic; leaves toxic; may cause dermatitis;"	"leaf tea for jaundice; root tea for gonorrhea, diarrhea; leaf tea wash for swelling, poison sumac rash, wounds, lock jaw,"	"no data"	"no data"	"no data"	"common"	"common"	"common"	"common"	"yes"	"yes"				"yes"
"028607"	"grape, summer"	"yes"		"dry or moist thickets"	"late spring-early summer"		"vine"	"perennial"	"no data"	"leaf tea for diarrhea, hepatitis, stomach aches, thrush; leaf poultice for sore breasts, fever, rheumatism, headache"	"no data"	"no data"	"no data"					"yes"	"yes"				"yes"
"028608"	"grape, fox"	"yes"		"dry or moist thickets"	"late spring-early summer"		"vine"	"perennial"	"no data"	"leaf tea for diarrhea, hepatitis, stomach aches, thrush; leaf poultice for sore breasts, fever, rheumatism, headache"	"no data"	"no data"	"no data"					"yes"	"yes"				
"028610"	"grape, frost"	"yes"		"woods, thickets"			"vine"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"	"common"	"common"	"common"	"common"	"yes"					
"028624"	"grape, riverbank"	"yes"		"riverbanks, bottomlands"	"Jun"		"vine"	"perennial"	"no data"	"leaf tea for diarrhea, hepatitis, stomach aches, thrush; leaf poultice for sore breasts, fever, rheumatism, headache"	"no data"	"no data"	"no data"					"yes"	"yes"				"yes"
"028718"	"buckeye, Ohio"	"yes"		"stream valleys, moist slopes"	"Apr-May"	"Sep"	"tree"	"perennial"	"seed poisoness; malodorous"	"no data"	"no data"	"no data"	"no data"		"common"	"common"		"yes"	"no"				
"028721"	"horse-chestnut"	"no"	"no"		"May-Jun"	"Sep-Oct"	"tree"	"perennial"	"all parts poisonous"	"see list"	"no data"	"urban shade tree"	"no data"					"yes"	"no"				
"028728"	"maple, red"	"yes"	"no"	"low wetlands, dry ridges, moist forests"	"Mar-Apr"	"May-Jun"	"tree"	"perennial"	"no data"	"no data"	"no data"	"no data"	"sometimes use for furniture"	"common"	"common"	"common"	"common"	"yes"	"yes"				
"028731"	"maple, sugar"	"yes"	"no"	"moist forest"	"Apr-Jun"	"Jun-Sep"	"tree"	"perennial"	"no data"	"tea from inner bark for coughs, diarrhea, diuertic"	"no data"	"no data"	"no data"	"common"	"common"	"common"	"common"		"yes"				
"028741"	"maple, Amur"	"no"			"May"	"Jun-Jul"	"tree"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"	"uncommon"				"yes"	"no"				
"028749"	"box-elder"	"yes"	"no"	"flood plains, stream banks, waste places"	"Apr"	"late summer-autumn"	"tree"	"perennial"	"no data"	"inner bark used to induce vomiting"	"sap boiled to make"	"no data"	"sap boiled as sugar source"		"common"	"common"	"common"	"yes"	"no"				
"028757"	"maple, silver"	"yes"	"no"	"flood plains, along waterway, swamps"	"Mar-Apr"	"late spring-early summer"	"tree"	"perennial"	"no data"	"no data"	"sap boiled to make sugar"	"commonly planted for shade"	"no data"	"common"	"common"	"common"	"common"		"yes"				
"028758"	"maple, mountain"	"yes"		"ravines, hillsides, moist and rocky slopes"	"Mar-May"	"May-Jul"	"tree"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"		"common"	"common"			"no"				
"028775"	"maple, Norway"	"no"	"no"	"stream banks, moist woods"		"late summer"	"tree"	"perennial"	"no data"	"no data"	"no data"	"shade tree"	"no data"		"common"			"no"	"yes"				
"028777"	"sumac, staghorn"	"yes"		"roadside, open edge habitat"	"Jun-Jul"	"Aug-Dec"	"tree"	"perennial"	"sap may cause skin rash"	"root bark tea for bleeding; berries for cough syrup; tea for lung ailments, sore throat; tonsillitis"	"no data"	"occasionally planted for fall foliage color"	"bark and leaves rich in tannin for leather work;"	"common"	"common"	"common"	"common"	"yes"	"yes"				"yes"
"028782"	"sumac, smooth"	"yes"		"early summer"	"late summer thru winter"		"tree"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"					
"028821"	"ivy, poison"	"yes"		"fence rows, open woods, thickets, roadsides"	"May-Jun"	"Aug"	"vine"	"perennial"	"causes dermatitis upon direct contact"	"urushiol inhibits prostaglandin synthesis"	"no data"	"no data"	"no data"	"common"	"common"	"common"	"common"	"yes"	"yes"				"yes"
"028827"	"tree-of-heaven"	"no"	"yes"	"waste places, woods, fields"	"Jun-Jul"	"Sep-winter"	"tree"	"perennial"	"more toxic than poison ivy"	"no data"	"no data"	"no dta"	"no data"					"yes"					
"029095"	"wood-sorrel, common yellow"	"no"		"roadsides, dry soil"	"May-Oct"	"Jul"	"herb"	"perennial"	"may cause oxalate poisoning"	"no data"	"no data"	"no data"	"no data"						"yes"				
"029107"	"geranium, wild"	"yes"	"no"	"woods, shady roadsides"	"Apr-Jun"	"Jun"	"herb"	"perennial"	"no data"	"root used to stop bleeding; diarrhea; dysentry, piles, gum disease, kidney and stomach ailments, diuretic"	"no data"	"no data"	"no data"					"yes"	"yes"				"yes"
"029115"	"cranes-bill, small-flowered"	"no"		"roadside, waste ground"	"Jun-Jul"	"Jul-Oct"	"herb"	"annual or biennial"	"no data"	"no data"	"no data"	"no data"	"no data"						"yes"				
"029119"	"Robert, herb"	"yes"	"no"	"damp rich woods"	"May-Sep"		"herb"	"annual or biennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"					
"029147"	"alfilaria"	"yes"		"roadsides, sandy ground"		"Apr-Oct"	"herb"	"annual or biennial"	"no data"	"leaf tea used to induce sweating, diuretic; leaves used to treat rheumatism"	"source of Vitamin K"	"no data"	"no data"						"yes"				
"029182"	"jewelweed"	"yes"		"wet shady places"	"Jul-Sep"		"herb"	"annual"	"no data"	"leaves as poultice for poison ivy, bruises, cuts, burns, sores, sprains, insect bites"	"no dat"	"no data"	"no data"	"common"	"common"	"common"	"common"	"yes"	"yes"				"yes"
"029189"	"touch-me-not, pale"	"yes"		"moist woods"	"summer-early fall"		"herb"	"annual"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"					
"029314"	"milkwort, purple"	"yes"		"fields, meadows"	"Jun-Oct"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"	"yes"				"yes"
"029377"	"spikenard"	"yes"		"stream banks, woods, shaded slopes"	"Jul"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"										
"029393"	"ivy, English"	"no"					"vine"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"	"yes"			"yes"	
"029400"	"ginseng, dwarf"	"yes"		"rich woods"	"Apr-Jun"		"herb"	"perennial"	"no data"	"whole plant tea for colic, indigestion, gout, hepatitis, blues, rheumatism, tuberculosis; root for headaches, fainting,"	"no data"	"no data"	"no data"						"yes"	"yes"			
"029456"	"water-hemlock"	"yes"		"swamps, damp low meadows"	"Jun-Sep"		"herb"	"bienniel"	"poisonness to taste even in small quantities"	"no data"	"no data"	"no data"	"no data"					"yes"	"no"				
"029473"	"poison-hemlock"	"no"		"riverbanks, waste areas"	"Jul-Aug"		"herb"	"bienniel"	"DEADLY if eaten"	"no data"	"no data"	"no data"	"no data"					"yes"	"yes"				"yes"
"029475"	"honewort"	"yes"		"rich woods"	"Jun-Jul"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"	"no"				
"029477"	"carrot, wild"	"no"		"roadsides, fields, dry waste area"	"May-Oct"		"herb"	"biennial"	"possibly causes dermatitis, blisters"	"root tea used as diuretic, urinary stones, worms, bactericide; seeds for morning-after contraception"	"no data"	"no data"	"no data"					"yes"	"yes"				
"029671"	"parsnip, cow"	"yes"		"moist rich ground"	"late spring"		"herb"		"no data"	"no data"	"no data"	"no data"	"no data"					"yes"					
"029856"	"snakeroot, black"	"yes"		"dry or moist woods"	"May-Jul"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"					
"029914"	"butterfly-bush"	"no"			"Jul-Sep"		"shrub"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"					
"030157"	"Indian-hemp"	"yes"		"moist ground, open places"	"Jun-Aug"		"herb"	"perennial"	"contains toxic cardioactive glycosides"	"cymarin & apocymarin have anti-tumor activity; sap"	"no data"	"no data"	"stems used for fiber and cordage"						"yes"				
"030238"	"periwinkle, common"	"no"	"YES"	"woods, roadsides, gardens"	"Apr-May"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"	"common"	"common"	"common"	"common"	"yes"	"yes"			"yes"	"yes"
"030241"	"milkweed, swamp"	"yes"	"no"	"swamp, wet ground"	"Jun-Aug"		"herb"	"perennial"	"potentially toxic"	"root tea for weakness, diuretic, laxative, vomiting, asthma, worms"	"no data"	"no data"	"no data"					"yes"	"yes"				
"030310"	"milkweed, common"	"yes"	"no"	"roadside, dry soil, field"	"Jun-Aug"		"herb"	"perennial"	"potentially toxic (cardioactive compounds)"	"root tea for kidney stones, dropsy, laxative, moles, ringworm"	"sap to make gum (not very good)"	"no data"	"no data"					"yes"	"yes"				
"030313"	"butterfly-weed"	"yes"	"no"	"upland woods, dry fields, stream banks"	"Jun-Aug"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"	"no"				
"030413"	"horse-nettle"	"yes"		"sandy soils, fields, roadsides"	"May-Oct"		"herb"	"perennial"	"fatalities reported in children"	"berries for epilepsy; pain, anti-spasmodic; wilted leaves for sore throat; leaf poultice for poison ivy rash; tea for worms"	"no data"	"no data"	"no data"					"yes"	"yes"				
"030414"	"nightshade, bittersweet"	"no"		"moist thickets"	"May-Sep"		"herb"	"perennial"	"contains steroids, toxic alkaloids; glucosides can cause vomiting, vertigo,"	"taken externally for warts, tumors; science recognizes anti-cancer properties,"	"no data"	"no data"	"no data"					"yes"	"yes"				"yes"
"030520"	"jimsonweed"	"no"		"waste places, dry soil"	"summer and fall"		"herb"	"annual"	"poisonness"	"no data"	"no data"	"no data"	"no data"					"yes"					
"030650"	"bindweed, hedge"	"yes"		"various"	"Jun-Aug"	"Jun-Aug"	"herb"	"perennial"	"no data"	"roots treat jaundice, gall bladder ailments, increase bile flow"	"no data"	"no data"	"no data"					"yes"	"yes"				
"030705"	"bindweed, field"	"no"	"yes"	"fields, waste places"	"summer-fall"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"	"no"				
"030712"	"dodder, common"	"yes"		"low ground, thickets"	"Jul-Oct"		"herb"		"no data"	"stem poultice used to treat"	"not considered edible"	"no data"	"no data"										
"030934"	"phlox, blue"	"yes"		"upland woods"	"Apr-Jun"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"					
"031390"	"waterleaf, broad-leaved"	"yes"		"moist woods"	"Jun-Jul"	"Aug"	"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"CLM"					
"031396"	"waterleaf, Virginia"	"yes"		"moist woods, ravines, flood plains, clearings"	"May-Aug"	"May"	"herb"	"perennial"	"no data"	"root tea for diarrhea, dysentry, cracked lips, mouth sores"	"no data"	"no data"	"no data"					"yes"	"yes"				
"031691"	"forget-me-not, smaller"	"yes"		"wet places, springs, muddy shores"	"May-Sep"		"herb"	"annual to short lived perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"					
"031697"	"forget-me-not, true"	"no"		"stream side, wet places"	"May-Oct"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"	"yes"			"yes"	
"032071"	"vervain, blue"	"yes"		"roadsides, thickets"	"Jul-Sep"		"herb"	"perennial"	"no data"	"leaf tea for female tonic, coughs, colds, fevers, bowel complaints, dysentry; emetic in large doses"	"no data"	"no data"	"no data"					"yes"	"yes"				"yes"
"032127"	"vervain, white"	"yes"		"forest edges, thickets"	"Jun-Sep"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"	"yes"				"yes"
"032254"	"water-horehound, cut-leaved"	"yes"		"meadow edges, wet places"	"Jul-Sep"		"herb"	"perennial"	"no data"	"whole plant is mild sedative; astringent, aids chronic lung ailments, coughs, thyroid disease, diabetes"	"no data"	"no data"	"no data"						"yes"				"yes"
"032255"	"water-horehound"	"yes"		"wet soil"	"Jul-Oct"		"herb"	"perennial"	"no data"	"whole plant is mild sedative, astringent, heart disease, chronic lung ailments, coughs, fast pulse, thyroid disease"	"no data"	"no data"	"no data"						"yes"				
"032323"	"hedge-nettle, common"	"yes"		"moist shaded soil, low woods, shores"	"Jun-Sep"		"herb"		"no data"	"no data"	"no data"	"no data"	"no data"						"yes"				
"032352"	"germander, American"	"yes"		"moist wet soils, shores"	"Jun-Aug"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"					
"032381"	"heal-all"	"no"		"lawns, roadsides, waste ground"	"May-Oct"		"herb"	"perennial"	"no data"	"leaf tea for sore throat, mouth sores, fevers, diarrhea, ulcers, worms, boils,"	"no data"	"no data"	"no data"					"yes"	"yes"			"yes"	"yes"
"032454"	"bugleweed, carpet"	"no"		"fields, roadsides"	"May-Jun"		"herb"		"no data"	"no known medical uses"	"no data"	"no data"	"no data"	"common"	"common"	"common"	"common"	"yes"	"yes"				
"032460"	"woodmint, downy"	"yes"		"fields, dry woods, moist shaded woods"	"Jun-Jul"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"					
